2026-04-15 12:10:50 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=75
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 拯救大兵瑞恩
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 沉默的羔羊
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 小鞋子
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 布达佩斯大饭店
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 蝴蝶效应
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 飞越疯人院
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 还有明天
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 禁闭岛
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 心灵捕手
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 致命魔术
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 低俗小说
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 超脱
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 哈利·波特与密室
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 一一
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 喜剧之王
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 杀人回忆
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 致命ID
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 摩登时代
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 春光乍泄
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 加勒比海盗
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 海豚湾
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 美国往事
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 红辣椒
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 七宗罪
2026-04-15 12:10:53 - spider - DEBUG - 解析电影: 唐伯虎点秋香
2026-04-15 12:10:53 - spider - INFO - 第 4 页爬取完成，获取 25 部电影
2026-04-15 12:10:53 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=100
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 狩猎
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 幽灵公主
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 甜蜜蜜
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 寄生虫
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 天书奇谭
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 蝙蝠侠：黑暗骑士崛起
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 超能陆战队
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 7号房的礼物
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 第六感
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 茶馆
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 爱在黎明破晓前
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 爱在日落黄昏时
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 被嫌弃的松子的一生
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 头脑特工队
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 哈利·波特与火焰杯
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 未麻的部屋
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 重庆森林
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 借东西的小人阿莉埃蒂
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 菊次郎的夏天
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 入殓师
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 断背山
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 剪刀手爱德华
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 勇敢的心
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 时空恋旅人
2026-04-15 12:10:55 - spider - DEBUG - 解析电影: 驯龙高手
2026-04-15 12:10:55 - spider - INFO - 第 5 页爬取完成，获取 25 部电影
2026-04-15 12:10:55 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=125
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 消失的爱人
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 无人知晓
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 倩女幽魂
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 傲慢与偏见
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 新世界
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 花样年华
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 玩具总动员3
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 一个叫欧维的男人决定去死
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 完美的世界
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 色，戒
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 阳光灿烂的日子
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 怪兽电力公司
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 小森林 夏秋篇
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 教父3
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 天使爱美丽
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 侧耳倾听
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 哪吒闹海
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 九品芝麻官
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 被解救的姜戈
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 请以你的名字呼唤我
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 幸福终点站
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 釜山行
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 神偷奶爸
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 小森林 冬春篇
2026-04-15 12:10:57 - spider - DEBUG - 解析电影: 喜宴
2026-04-15 12:10:57 - spider - INFO - 第 6 页爬取完成，获取 25 部电影
2026-04-15 12:10:57 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=150
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 萤火之森
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 告白
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 玛丽和麦克斯
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 七武士
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 头号玩家
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 模仿游戏
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 惊魂记
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 大鱼
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 心灵奇旅
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 机器人之梦
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 背靠背，脸对脸
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 射雕英雄传之东成西就
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 血战钢锯岭
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 你的名字。
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 我是山姆
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 阳光姐妹淘
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 恐怖直播
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 黑客帝国3：矩阵革命
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 末路狂花
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 小丑
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 三块广告牌
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 谍影重重3
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 高山下的花环
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 电锯惊魂
2026-04-15 12:10:59 - spider - DEBUG - 解析电影: 无间道2
2026-04-15 12:10:59 - spider - INFO - 第 7 页爬取完成，获取 25 部电影
2026-04-15 12:10:59 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=175
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 达拉斯买家俱乐部
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 疯狂原始人
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 绿里奇迹
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 爱在午夜降临前
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 疯狂的石头
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 雨中曲
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 2001太空漫游
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 海街日记
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 风之谷
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 上帝之城
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 心迷宫
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 英雄本色
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 记忆碎片
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 纵横四海
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 无敌破坏王
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 卢旺达饭店
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 东京教父
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 牯岭街少年杀人事件
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 恐怖游轮
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 小偷家族
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 魔女宅急便
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 冰川时代
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 芙蓉镇
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 忠犬八公物语
2026-04-15 12:11:01 - spider - DEBUG - 解析电影: 岁月神偷
2026-04-15 12:11:01 - spider - INFO - 第 8 页爬取完成，获取 25 部电影
2026-04-15 12:11:01 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=200
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 遗愿清单
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 荒蛮故事
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 大佛普拉斯
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 源代码
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 花束般的恋爱
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 白日梦想家
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 爱乐之城
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 疯狂的麦克斯4：狂暴之路
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 可可西里
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 你看起来好像很好吃
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 贫民窟的百万富翁
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 波西米亚狂想曲
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 城市之光
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 爆裂鼓手
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 青蛇
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 东邪西毒
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 哈利·波特与死亡圣器(上)
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 无耻混蛋
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 终结者2：审判日
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 大红灯笼高高挂
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 黑天鹅
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 新龙门客栈
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 初恋这件小事
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 千钧一发
2026-04-15 12:11:03 - spider - DEBUG - 解析电影: 人工智能
2026-04-15 12:11:03 - spider - INFO - 第 9 页爬取完成，获取 25 部电影
2026-04-15 12:11:03 - spider - INFO - 正在请求: https://movie.douban.com/top250?start=225
2026-04-15 12:11:06 - spider - DEBUG - 解析电影: 崖上的波妞
